Username,Email,Password (SHA-256 Hashed),Role,User_ID,Phone_number,Otp_Code,Is_Verified,Date_Joined,Last_Login,Project_Name,Project_ID,Status,Project_Description,Task_Name,Task_Status,Task_ID,Time_Logged,Clock_In   ,Clock_Out,Location,Approved,Attendance_Change_Date,Attendance_Change_Status,Attendance_Date,Attendance_Status,Leave_Start_Date,Leave_End_Date,Leave_Reason,Leave_Status,Alert_Type,Alert_Message, Alert_Timestamp,Start_Date,End_Date,Report_Type,File_Path,Prediction_Type,Predicted_Value,Timestamp,System,Action,Request_Data,Response_Data,Status,Alert_Timestamp
patriciaobrien,leerita@baxter.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,11,123456789,ABCD1244,FALSE,01-03-2024,9:00 PM,Website Redesign,1,Done,Revamping company website,Develop Login Screen,In Progress,102,10,11-03-2024 09:00,12-03-2024 17:00,Remote,TRUE,15-03-2024,Present,15-03-2024,Present,20-03-2024,22-03-2024,Family Emergency,Approved,Clock-in,User has clocked in.,15-03-2024 08:00,11-03-2024,15-03-2024,work_hours,work_hours_report.xlsx,workload,17.5,20-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,20-03-2024 12:00
rodriguezamanda,williamjohnson@rodriguez-greene.net,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,12,123456789,ABCD1245,FALSE,02-03-2024,9:00 PM,Website Redesign,1,Done,Revamping company website,Develop Login Screen,In Progress,102,11,12-03-2024 09:00,13-03-2024 17:00,Remote,TRUE,16-03-2024,Late,16-03-2024,Present,21-03-2024,23-03-2024,Medical Leave,Approved,Clock-in,User has clocked in.,16-03-2024 08:00,12-03-2024,16-03-2024,work_hours,work_hours_report.xlsx,workload,18.5,21-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,21-03-2024 12:00
bjohnson,mgray@palmer.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,13,123456789,ABCD1246,FALSE,03-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Develop Login Screen,In Progress,102,12,13-03-2024 09:00,14-03-2024 17:00,Office,TRUE,17-03-2024,Late,17-03-2024,Present,22-03-2024,24-03-2024,Medical Leave,Approved,Clock-in,User has clocked in.,17-03-2024 08:00,13-03-2024,17-03-2024,work_hours,work_hours_report.xlsx,workload,19.5,22-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,22-03-2024 12:00
johnbooth,joannebrown@miller.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,14,123456789,ABCD1247,FALSE,04-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Develop Login Screen,In Progress,102,13,14-03-2024 09:00,15-03-2024 17:00,Office,TRUE,18-03-2024,Late,18-03-2024,Present,23-03-2024,25-03-2024,Medical Leave,Approved,Overtime,User has exceeded work hours,18-03-2024 08:00,14-03-2024,18-03-2024,work_hours,work_hours_report.xlsx,workload,20.5,23-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,23-03-2024 12:00
barbarapoole,walkerchristina@avery.info,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,15,123456789,ABCD1248,FALSE,05-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Develop Login Screen,In Progress,102,14,15-03-2024 09:00,16-03-2024 17:00,Office,TRUE,19-03-2024,Late,19-03-2024,Present,24-03-2024,26-03-2024,Medical Leave,Approved,Overtime,User has exceeded work hours,19-03-2024 08:00,15-03-2024,19-03-2024,work_hours,work_hours_report.xlsx,burnout,21.5,24-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,24-03-2024 12:00
rubenmitchell,diane21@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,16,123456789,ABCD1249,FALSE,06-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Develop Login Screen,To Do,102,15,16-03-2024 09:00,17-03-2024 17:00,Office,TRUE,20-03-2024,Late,20-03-2024,Present,25-03-2024,27-03-2024,Medical Leave,Approved,Overtime,User has exceeded work hours,20-03-2024 08:00,16-03-2024,20-03-2024,work_hours,work_hours_report.xlsx,burnout,22.5,25-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,25-03-2024 12:00
charles01,cookmichael@cannon.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,17,123456789,ABCD1250,FALSE,07-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Develop Login Screen,To Do,102,16,17-03-2024 09:00,18-03-2024 17:00,Office,FALSE,21-03-2024,Late,21-03-2024,Present,26-03-2024,28-03-2024,Medical Leave,Approved,Overtime,User has exceeded work hours,21-03-2024 08:00,17-03-2024,21-03-2024,work_hours,work_hours_report.xlsx,burnout,23.5,26-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,26-03-2024 12:00
michelle06,cynthiahurley@chapman.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,18,123456789,ABCD1251,FALSE,08-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Develop Login Screen,To Do,102,17,18-03-2024 09:00,19-03-2024 17:00,Remote,FALSE,22-03-2024,Late,22-03-2024,Present,27-03-2024,29-03-2024,Medical Leave,Approved,Overtime,User has exceeded work hours,22-03-2024 08:00,18-03-2024,22-03-2024,work_hours,work_hours_report.xlsx,burnout,24.5,27-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,27-03-2024 12:00
xreynolds,nicolemiller@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,19,123456789,ABCD1252,TRUE,09-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Develop Login Screen,To Do,102,18,19-03-2024 09:00,20-03-2024 17:00,Remote,FALSE,23-03-2024,Late,23-03-2024,Present,28-03-2024,30-03-2024,Medical Leave,Approved,Overtime,User has exceeded work hours,23-03-2024 08:00,19-03-2024,23-03-2024,work_hours,work_hours_report.xlsx,burnout,25.5,28-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,28-03-2024 12:00
ellisandrew,stephanietaylor@hotmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,20,123456789,ABCD1253,TRUE,10-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Develop Login Screen,To Do,102,19,20-03-2024 09:00,21-03-2024 17:00,Remote,FALSE,24-03-2024,Late,24-03-2024,Present,29-03-2024,31-03-2024,Medical Leave,Approved,Overtime,User has exceeded work hours,24-03-2024 08:00,20-03-2024,24-03-2024,work_hours,work_hours_report.xlsx,burnout,26.5,29-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,29-03-2024 12:00
qsullivan,aanthony@hotmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,21,123456789,ABCD1254,FALSE,11-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Develop Login Screen,To Do,102,20,21-03-2024 09:00,22-03-2024 17:00,Remote,FALSE,25-03-2024,Late,25-03-2024,Present,30-03-2024,01-04-2024,Medical Leave,Approved,Overtime,User has exceeded work hours,25-03-2024 08:00,21-03-2024,25-03-2024,work_hours,work_hours_report.xlsx,burnout,27.5,30-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,30-03-2024 12:00
kimberly06,rholland@stone.biz,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,22,123456789,ABCD1255,FALSE,12-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Data Analytics,To Do,103,21,22-03-2024 09:00,23-03-2024 17:00,Office,FALSE,26-03-2024,Late,26-03-2024,Present,31-03-2024,02-04-2024,Medical Leave,Approved,Clock-in,User has clocked in.,26-03-2024 08:00,22-03-2024,26-03-2024,work_hours,work_hours_report.xlsx,burnout,28.5,31-03-2024 12:00,hr,sync,"{""attendance"": [{""username"": ""john_doe"", ""date"": ""2024-03-01""}]}","{""message"": ""Success""}",success,31-03-2024 12:00
kunderwood,michael23@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,23,123456789,ABCD1256,TRUE,13-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Data Analytics,To Do,103,22,23-03-2024 09:00,24-03-2024 17:00,Office,FALSE,27-03-2024,Late,27-03-2024,Present,01-04-2024,03-04-2024,Medical Leave,Approved,Clock-in,User has clocked in.,27-03-2024 08:00,23-03-2024,27-03-2024,work_hours,work_hours_report.xlsx,burnout,29.5,01-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,01-04-2024 12:00
shull,donna80@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,24,123456789,ABCD1257,FALSE,14-03-2024,9:00 PM,Website Redesign,1,Not completed,Revamping company website,Data Analytics,To Do,103,23,24-03-2024 09:00,25-03-2024 17:00,Office,FALSE,28-03-2024,Late,28-03-2024,Present,02-04-2024,04-04-2024,Medical Leave,Pending,Clock-in,User has clocked in.,28-03-2024 08:00,24-03-2024,28-03-2024,work_hours,work_hours_report.xlsx,burnout,30.5,02-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,02-04-2024 12:00
wnguyen,meyerscharlotte@wilson.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,25,123456789,ABCD1258,TRUE,15-03-2024,9:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,To Do,103,24,25-03-2024 09:00,26-03-2024 17:00,Office,FALSE,29-03-2024,Late,29-03-2024,Present,03-04-2024,05-04-2024,Medical Leave,Pending,Clock-in,User has clocked in.,29-03-2024 08:00,25-03-2024,29-03-2024,overtime,overtime_report.xlsx,burnout,31.5,03-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,03-04-2024 12:00
vgarcia,webercynthia@burgess-mitchell.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,26,123456789,ABCD1259,TRUE,16-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,To Do,103,25,26-03-2024 09:00,27-03-2024 17:00,Office,FALSE,30-03-2024,Late,30-03-2024,Present,04-04-2024,06-04-2024,Medical Leave,Pending,Clock-in,User has clocked in.,30-03-2024 08:00,26-03-2024,30-03-2024,overtime,overtime_report.xlsx,burnout,32.5,04-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,04-04-2024 12:00
daniel50,rebecca15@dawson.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,27,123456789,ABCD1260,FALSE,17-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,To Do,103,26,27-03-2024 09:00,28-03-2024 17:00,Office,FALSE,31-03-2024,Late,31-03-2024,Present,05-04-2024,07-04-2024,Medical Leave,Pending,Clock-in,User has clocked in.,31-03-2024 08:00,27-03-2024,31-03-2024,overtime,overtime_report.xlsx,burnout,33.5,05-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,05-04-2024 12:00
urogers,shall@jones-perez.info,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,28,123456789,ABCD1261,TRUE,18-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,In Progress,103,27,28-03-2024 09:00,29-03-2024 17:00,Office,FALSE,01-04-2024,Late,01-04-2024,Present,06-04-2024,08-04-2024,Family Emergency,Pending,Clock-in,User has clocked in.,01-04-2024 08:00,28-03-2024,01-04-2024,overtime,overtime_report.xlsx,burnout,34.5,06-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,06-04-2024 12:00
jeremy53,pwood@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,29,123456789,ABCD1262,FALSE,19-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,In Progress,103,28,29-03-2024 09:00,30-03-2024 17:00,Remote,FALSE,02-04-2024,Late,02-04-2024,Present,07-04-2024,09-04-2024,Family Emergency,Pending,Clock-in,User has clocked in.,02-04-2024 08:00,29-03-2024,02-04-2024,overtime,overtime_report.xlsx,burnout,35.5,07-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,07-04-2024 12:00
jeffreyphillips,carl11@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,30,123456789,ABCD1263,TRUE,20-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,In Progress,103,29,30-03-2024 09:00,31-03-2024 17:00,Remote,FALSE,03-04-2024,Present,03-04-2024,Present,08-04-2024,10-04-2024,Family Emergency,Pending,Clock-in,User has clocked in.,03-04-2024 08:00,30-03-2024,03-04-2024,overtime,overtime_report.xlsx,burnout,36.5,08-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,08-04-2024 12:00
vkrause,ssmith@wright.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,31,123456789,ABCD1264,TRUE,21-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,In Progress,103,30,31-03-2024 09:00,01-04-2024 17:00,Remote,FALSE,04-04-2024,Present,04-04-2024,Present,09-04-2024,11-04-2024,Family Emergency,Pending,Clock-in,User has clocked in.,04-04-2024 08:00,31-03-2024,04-04-2024,overtime,overtime_report.xlsx,burnout,37.5,09-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,09-04-2024 12:00
tony73,howellcorey@short-jones.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,admin,32,123456789,ABCD1265,FALSE,22-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,In Progress,103,31,01-04-2024 09:00,02-04-2024 17:00,Remote,FALSE,05-04-2024,Present,05-04-2024,Late,10-04-2024,12-04-2024,Family Emergency,Approved,Clock-in,User has clocked in.,05-04-2024 08:00,01-04-2024,05-04-2024,overtime,overtime_report.xlsx,burnout,38.5,10-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,10-04-2024 12:00
cordovamargaret,farmermartin@harris.info,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,33,123456789,ABCD1266,FALSE,23-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,In Progress,103,32,02-04-2024 09:00,03-04-2024 17:00,Remote,FALSE,06-04-2024,Present,06-04-2024,Late,11-04-2024,13-04-2024,Family Emergency,Approved,Clock-in,User has clocked in.,06-04-2024 08:00,02-04-2024,06-04-2024,overtime,overtime_report.xlsx,burnout,39.5,11-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,11-04-2024 12:00
walterrachel,gcampbell@walton.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,34,123456789,ABCD1267,FALSE,24-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,In Progress,103,33,03-04-2024 09:00,02-03-2024 18:00,Remote,FALSE,07-04-2024,Present,07-04-2024,Late,12-04-2024,14-04-2024,Family Emergency,Approved,Clock-in,User has clocked in.,07-04-2024 08:00,03-04-2024,07-04-2024,overtime,overtime_report.xlsx,burnout,40.5,12-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,12-04-2024 12:00
reillycharles,whitekenneth@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,35,123456789,ABCD1268,FALSE,25-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,In Progress,103,34,04-04-2024 09:00,03-03-2024 18:00,Remote,FALSE,08-04-2024,Present,08-04-2024,Late,13-04-2024,15-04-2024,Family Emergency,Approved,Clock-in,User has clocked in.,08-04-2024 08:00,04-04-2024,08-04-2024,overtime,overtime_report.xlsx,burnout,41.5,13-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,13-04-2024 12:00
colleenfischer,danielgardner@glenn.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,36,123456789,ABCD1269,FALSE,26-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,In Progress,103,35,05-04-2024 09:00,04-03-2024 18:00,Office,FALSE,09-04-2024,Present,09-04-2024,Late,14-04-2024,16-04-2024,Family Emergency,Approved,Overtime,User has exceeded work hours,09-04-2024 08:00,05-04-2024,09-04-2024,overtime,overtime_report.xlsx,burnout,42.5,14-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,14-04-2024 12:00
ramirezalison,wross@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,employee,37,123456789,ABCD1270,FALSE,27-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,In Progress,103,36,06-04-2024 09:00,05-03-2024 18:00,Office,FALSE,10-04-2024,Present,10-04-2024,Late,15-04-2024,17-04-2024,Family Emergency,Approved,Overtime,User has exceeded work hours,10-04-2024 08:00,06-04-2024,10-04-2024,overtime,overtime_report.xlsx,project_delay,43.5,15-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,15-04-2024 12:00
frankwatkins,crystaljones@wong-newman.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,manager,38,123456789,ABCD1271,FALSE,28-03-2024,10:00 PM,Mobile App Development,2,Not completed,Building new app,Data Analytics,In Progress,103,37,07-04-2024 09:00,06-03-2024 18:00,Office,FALSE,11-04-2024,Present,11-04-2024,Late,16-04-2024,18-04-2024,Family Emergency,Approved,Overtime,User has exceeded work hours,11-04-2024 08:00,07-04-2024,11-04-2024,overtime,overtime_report.xlsx,project_delay,44.5,16-04-2024 12:00,payroll,sync,"{""employees"": [{""username"": ""jane_smith"", ""total_hours"": 40}]}","{""message"": ""Success""}",success,16-04-2024 12:00
